epoch,step,test_f1,test_loss,train_f1,train_loss,val_f1,val_loss
0,249,,,,,0.21755585074424744,1.3135197162628174
0,249,,,0.17476044595241547,1.38707435131073,,
1,499,,,,,0.22723588347434998,1.3021458387374878
1,499,,,0.17182578146457672,1.3370790481567383,,
2,749,,,,,0.04232090711593628,1.3171111345291138
2,749,,,0.18098607659339905,1.305451512336731,,
3,999,,,,,0.049890100955963135,1.3239551782608032
3,999,,,0.18475642800331116,1.3210558891296387,,
4,1249,,,,,0.23118725419044495,1.3208204507827759
4,1249,,,0.1877138465642929,1.2936164140701294,,
5,1499,,,,,0.22198408842086792,1.3185884952545166
5,1499,,,0.21354196965694427,1.2762867212295532,,
6,1749,,,,,0.21876411139965057,1.3019124269485474
6,1749,,,0.18209688365459442,1.2815080881118774,,
7,1999,,,,,0.24559365212917328,1.308499813079834
7,1999,,,0.19886121153831482,1.2684004306793213,,
8,2249,,,,,0.22906538844108582,1.3108530044555664
8,2249,,,0.21670009195804596,1.2787420749664307,,
9,2499,,,,,0.21731966733932495,1.311577558517456
9,2499,,,0.1933862566947937,1.2654365301132202,,
10,2749,,,,,0.2285708785057068,1.3149099349975586
10,2749,,,0.20073042809963226,1.2548425197601318,,
11,2999,,,,,0.22624488174915314,1.3172560930252075
11,2999,,,0.19419987499713898,1.2643227577209473,,
12,3249,,,,,0.2192324697971344,1.3175482749938965
12,3249,,,0.21702158451080322,1.2742716073989868,,
13,3499,,,,,0.23384293913841248,1.3180043697357178
13,3499,,,0.20376212894916534,1.2628339529037476,,
14,3749,,,,,0.2306945025920868,1.3157798051834106
14,3749,,,0.20222827792167664,1.2524747848510742,,
15,3999,,,,,0.22619681060314178,1.3177646398544312
15,3999,,,0.20963041484355927,1.2554229497909546,,
16,4249,,,,,0.22468549013137817,1.318302035331726
16,4249,,,0.20808202028274536,1.2562304735183716,,
17,4499,,,,,0.23103304207324982,1.3182562589645386
17,4499,,,0.21216022968292236,1.2607812881469727,,
18,4749,,,,,0.23062735795974731,1.3204317092895508
18,4749,,,0.21456435322761536,1.2588186264038086,,
19,4999,,,,,0.21988624334335327,1.3229694366455078
19,4999,,,0.21101340651512146,1.2540987730026245,,
20,5249,,,,,0.23195889592170715,1.32218337059021
20,5249,,,0.21307748556137085,1.2551480531692505,,
21,5499,,,,,0.23025117814540863,1.3221123218536377
21,5499,,,0.21509233117103577,1.242073893547058,,
22,5500,0.24239782989025116,1.3420120477676392,,,,
